generation,best_fitness,avg_fitness,eval_time_s,total_time_s,dist_to_target
110,0.082660,0.080528,0.133,0.295,6.242509
111,0.085249,0.081067,0.131,0.300,6.193574
112,0.084167,0.080901,0.134,0.297,6.173637
113,0.083213,0.081580,0.134,0.298,6.121068
114,0.083646,0.080783,0.135,0.295,6.100141
115,0.084175,0.081415,0.132,0.294,6.071013
116,0.083411,0.081672,0.134,0.293,6.054372
117,0.083590,0.081245,0.132,0.295,6.003549
118,0.085039,0.082342,0.137,0.296,6.002583
119,0.084800,0.081994,0.133,0.297,5.960828
120,0.085857,0.081968,0.129,0.290,5.946501
121,0.083844,0.081638,0.140,0.317,5.945367
122,0.083718,0.081940,0.141,0.326,5.959531
123,0.085734,0.081800,0.133,0.303,5.937035
124,0.085867,0.082293,0.130,0.304,5.938618
125,0.084116,0.081995,0.134,0.298,5.913596
126,0.084499,0.081442,0.140,0.304,5.898067
127,0.084237,0.081655,0.133,0.301,5.878650
128,0.084822,0.081924,0.133,0.296,5.880090
129,0.086684,0.082657,0.138,0.326,5.868136
130,0.084992,0.081455,0.134,0.323,5.860794
131,0.085374,0.082291,0.136,0.308,5.875714
132,0.084860,0.082402,0.139,0.305,5.856449
133,0.086854,0.082514,0.133,0.308,5.807002
134,0.085957,0.082984,0.136,0.291,5.828971
135,0.084329,0.082568,0.133,0.302,5.839134
136,0.086460,0.082719,0.127,0.312,5.795222
137,0.085481,0.082802,0.129,0.291,5.819402
138,0.085236,0.082639,0.130,0.303,5.840162
139,0.085413,0.082362,0.130,0.303,5.846004
140,0.085389,0.082510,0.135,0.295,5.823602
141,0.086278,0.083071,0.131,0.292,5.823847
142,0.084846,0.082372,0.137,0.300,5.786207
143,0.087399,0.083380,0.134,0.297,5.760637
144,0.085534,0.082365,0.135,0.296,5.745334
145,0.086376,0.082748,0.133,0.301,5.756488
146,0.084347,0.082792,0.132,0.290,5.759059
147,0.086189,0.082433,0.135,0.298,5.750238
148,0.084926,0.083302,0.131,0.289,5.761458
149,0.085377,0.082777,0.135,0.314,5.757915
150,0.087185,0.082647,0.128,0.293,5.754008
151,0.084442,0.082186,0.131,0.302,5.758113
152,0.086371,0.082472,0.132,0.303,5.737817
153,0.086893,0.083326,0.133,0.301,5.703610
154,0.085800,0.083271,0.133,0.305,5.679747
155,0.086547,0.083032,0.136,0.295,5.676668
156,0.086890,0.083874,0.134,0.295,5.707685
157,0.086151,0.082674,0.132,0.299,5.727509
158,0.085246,0.082886,0.136,0.297,5.724668
159,0.085622,0.083306,0.133,0.299,5.706672
160,0.084331,0.082950,0.133,0.289,5.733317
161,0.086244,0.083072,0.128,0.320,5.718810
162,0.084847,0.082991,0.131,0.295,5.740843
163,0.085279,0.082921,0.129,0.297,5.722843
164,0.085805,0.082140,0.131,0.299,5.694376
165,0.087198,0.083318,0.134,0.302,5.739663
166,0.085428,0.083450,0.132,0.301,5.757144
167,0.086860,0.082585,0.131,0.299,5.734034
168,0.086650,0.082764,0.133,0.296,5.703775
169,0.086156,0.083189,0.133,0.308,5.708072
170,0.086228,0.083269,0.130,0.307,5.713729
171,0.085649,0.082487,0.130,0.304,5.693173
172,0.085590,0.083068,0.133,0.297,5.690927
173,0.085999,0.083245,0.137,0.300,5.657650
174,0.084820,0.082798,0.132,0.320,5.668628
175,0.083960,0.082227,0.135,0.303,5.662816
176,0.086489,0.083336,0.131,0.304,5.645459
177,0.085552,0.083266,0.131,0.295,5.635733
178,0.085335,0.082800,0.133,0.297,5.635546
179,0.084957,0.082259,0.131,0.298,5.624546
180,0.087702,0.083836,0.132,0.293,5.586581
181,0.087968,0.083360,0.134,0.297,5.573730
182,0.085615,0.083469,0.132,0.291,5.586597
183,0.085419,0.082780,0.131,0.295,5.592883
184,0.089915,0.084240,0.132,0.300,5.572704
185,0.087085,0.083632,0.135,0.293,5.615937
186,0.085510,0.082770,0.135,0.294,5.627154
187,0.088328,0.083854,0.133,0.296,5.625897
188,0.088061,0.083794,0.136,0.302,5.577973
189,0.085105,0.082598,0.132,0.297,5.586124
190,0.086287,0.082836,0.133,0.303,5.556425
191,0.087722,0.083186,0.133,0.301,5.537861
192,0.086315,0.083183,0.129,0.296,5.494452
193,0.088224,0.083974,0.130,0.308,5.499614
194,0.086030,0.083159,0.131,0.293,5.501518
195,0.087579,0.084092,0.132,0.312,5.484472
196,0.086664,0.083783,0.134,0.302,5.472856
197,0.085549,0.082651,0.131,0.301,5.463238
198,0.086306,0.083869,0.130,0.302,5.512464
199,0.086301,0.083697,0.129,0.294,5.505493
