generation,best_fitness,avg_fitness,eval_time_s,total_time_s,dist_to_target
0,0.071866,0.069697,0.158,0.337,9.215440
1,0.071635,0.070285,0.142,0.331,9.191632
2,0.073258,0.070285,0.136,0.327,9.111365
3,0.073348,0.070649,0.136,0.303,9.084660
4,0.073177,0.070720,0.133,0.294,9.038656
5,0.074006,0.070274,0.132,0.291,8.998742
6,0.072249,0.071172,0.133,0.294,8.983143
7,0.073949,0.071669,0.132,0.289,8.942880
8,0.073597,0.071408,0.159,0.322,8.905100
9,0.074110,0.071102,0.128,0.302,8.869292
10,0.073470,0.071927,0.133,0.308,8.846331
11,0.073445,0.071840,0.132,0.315,8.809145
12,0.073773,0.071944,0.133,0.303,8.801717
13,0.073284,0.071379,0.130,0.291,8.786113
14,0.075613,0.071411,0.133,0.314,8.749979
15,0.073669,0.071385,0.133,0.295,8.720442
16,0.073131,0.072128,0.133,0.296,8.704152
17,0.075557,0.071873,0.133,0.301,8.648563
18,0.074990,0.072782,0.131,0.297,8.617615
19,0.075688,0.072106,0.133,0.290,8.602802
20,0.076419,0.072869,0.133,0.293,8.533057
21,0.074117,0.072423,0.134,0.301,8.516145
22,0.075223,0.072468,0.132,0.300,8.462180
23,0.075793,0.072439,0.129,0.309,8.418680
24,0.075518,0.072864,0.131,0.300,8.400294
25,0.076721,0.073345,0.128,0.297,8.320327
26,0.075910,0.073260,0.131,0.305,8.292962
27,0.075642,0.072981,0.135,0.296,8.240236
28,0.076597,0.074074,0.131,0.294,8.198155
29,0.076954,0.074387,0.134,0.306,8.160209
30,0.077359,0.074154,0.134,0.291,8.101445
31,0.077122,0.074483,0.135,0.301,8.074390
32,0.076786,0.074668,0.130,0.291,8.048203
33,0.077943,0.074994,0.133,0.308,8.021599
34,0.077028,0.074326,0.136,0.298,7.988057
35,0.076661,0.074617,0.164,0.333,7.968943
36,0.075474,0.074206,0.133,0.306,7.946755
37,0.075632,0.074219,0.141,0.310,7.929548
38,0.077627,0.074610,0.135,0.305,7.892222
39,0.077431,0.074851,0.138,0.303,7.858214
40,0.077151,0.074457,0.123,0.314,7.845453
41,0.078673,0.074977,0.126,0.291,7.818601
42,0.077781,0.075121,0.129,0.292,7.754294
43,0.078451,0.075939,0.122,0.290,7.734188
44,0.078724,0.075463,0.125,0.307,7.709816
45,0.078694,0.076278,0.124,0.290,7.671859
46,0.078799,0.076344,0.124,0.282,7.613177
47,0.078813,0.076836,0.128,0.287,7.583397
48,0.080337,0.076138,0.126,0.285,7.556968
49,0.078392,0.076159,0.127,0.286,7.519467
50,0.078796,0.076505,0.126,0.282,7.518687
51,0.080819,0.077117,0.122,0.282,7.487809
52,0.080005,0.076334,0.124,0.284,7.432915
53,0.080192,0.076855,0.125,0.294,7.400869
54,0.079086,0.076988,0.127,0.282,7.384392
55,0.079202,0.076874,0.124,0.285,7.330189
56,0.080187,0.077228,0.126,0.279,7.310889
57,0.080050,0.077065,0.126,0.288,7.271822
58,0.081120,0.077275,0.125,0.284,7.250029
59,0.080561,0.077390,0.124,0.276,7.237035
60,0.080006,0.076975,0.127,0.280,7.183213
61,0.080281,0.077627,0.129,0.304,7.143461
62,0.080036,0.077833,0.164,0.348,7.165289
63,0.080392,0.077779,0.133,0.315,7.152328
64,0.083662,0.077812,0.143,0.317,7.102213
65,0.080509,0.078215,0.135,0.317,7.088835
66,0.081136,0.077649,0.132,0.306,7.060565
67,0.080677,0.077648,0.135,0.308,7.016943
68,0.081128,0.078148,0.136,0.304,7.030598
69,0.080417,0.077935,0.130,0.304,7.010387
70,0.080737,0.077961,0.135,0.305,7.009083
71,0.081518,0.078398,0.133,0.302,7.007935
72,0.081140,0.078509,0.133,0.300,7.004401
73,0.080785,0.077600,0.133,0.299,6.977745
74,0.080826,0.078195,0.130,0.292,6.929735
75,0.081295,0.078331,0.132,0.292,6.905843
76,0.079884,0.078207,0.132,0.296,6.913157
77,0.080311,0.078411,0.136,0.300,6.906925
78,0.081534,0.078609,0.134,0.304,6.868297
79,0.081030,0.078562,0.129,0.299,6.834090
80,0.081059,0.078798,0.133,0.309,6.815076
81,0.081100,0.078400,0.136,0.299,6.814037
82,0.081090,0.079439,0.134,0.297,6.809416
83,0.080907,0.079076,0.131,0.304,6.774009
84,0.081169,0.079014,0.129,0.295,6.749171
85,0.081568,0.078435,0.131,0.310,6.720164
86,0.081492,0.079378,0.131,0.298,6.698433
87,0.083069,0.079192,0.131,0.297,6.625367
88,0.082083,0.079635,0.131,0.295,6.599576
89,0.082144,0.079260,0.134,0.293,6.587344
90,0.083955,0.079834,0.133,0.314,6.548849
91,0.083549,0.079693,0.145,0.311,6.509130
92,0.083093,0.080769,0.130,0.300,6.473322
93,0.081123,0.079700,0.136,0.294,6.463331
94,0.083081,0.080139,0.129,0.294,6.497761
95,0.082798,0.080535,0.136,0.302,6.491191
96,0.082241,0.079452,0.130,0.301,6.494071
97,0.085405,0.080883,0.131,0.298,6.463870
98,0.083164,0.079997,0.132,0.297,6.431480
99,0.082312,0.079930,0.136,0.297,6.431406
100,0.083239,0.080315,0.134,0.301,6.399031
101,0.082328,0.079795,0.134,0.304,6.386080
102,0.084063,0.080847,0.130,0.304,6.335606
103,0.082367,0.080528,0.133,0.302,6.370606
104,0.084287,0.080641,0.129,0.295,6.334120
105,0.082392,0.080545,0.129,0.293,6.341736
106,0.082579,0.080759,0.133,0.297,6.320206
107,0.083745,0.080713,0.130,0.299,6.296587
108,0.084164,0.080965,0.132,0.299,6.303709
109,0.083079,0.080177,0.130,0.314,6.269063
