============================================================
                       ES Training                       
============================================================
[09:43:35] out_dir=training_history_20260630_094335
[09:43:35] params=553,053
[09:43:35] seed=42
[09:43:35] pop_size=16
[09:43:35] sigma=0.3
[09:43:35] lr=0.1
[09:43:35] workers=12
[09:43:35] games_per_ind=1
[09:43:35] generations=200
[09:43:35] opponents=random from population (self-play)
------------------------------------------------------------
[09:43:35] mode=synthetic test
[09:43:35] init_dist_to_target=9.2638
gen=gen  best=best_fit  avg=avg_fit  eval_s=eval(s)  total_s=total(s)  dist=dist_to_target
-----------------------------------------------------------------
gen=0  best=0.0719  avg=0.0697  eval_s=0.2  total_s=0.3  dist=9.22
gen=1  best=0.0716  avg=0.0703  eval_s=0.1  total_s=0.3  dist=9.19
gen=2  best=0.0733  avg=0.0703  eval_s=0.1  total_s=0.3  dist=9.11
gen=3  best=0.0733  avg=0.0706  eval_s=0.1  total_s=0.3  dist=9.08
gen=4  best=0.0732  avg=0.0707  eval_s=0.1  total_s=0.3  dist=9.04
gen=5  best=0.0740  avg=0.0703  eval_s=0.1  total_s=0.3  dist=9.00
gen=6  best=0.0722  avg=0.0712  eval_s=0.1  total_s=0.3  dist=8.98
gen=7  best=0.0739  avg=0.0717  eval_s=0.1  total_s=0.3  dist=8.94
gen=8  best=0.0736  avg=0.0714  eval_s=0.2  total_s=0.3  dist=8.91
gen=9  best=0.0741  avg=0.0711  eval_s=0.1  total_s=0.3  dist=8.87
[09:43:41] checkpoint=training_history_20260630_094335\gen_0010.pt
gen=10  best=0.0735  avg=0.0719  eval_s=0.1  total_s=0.3  dist=8.85
gen=11  best=0.0734  avg=0.0718  eval_s=0.1  total_s=0.3  dist=8.81
gen=12  best=0.0738  avg=0.0719  eval_s=0.1  total_s=0.3  dist=8.80
gen=13  best=0.0733  avg=0.0714  eval_s=0.1  total_s=0.3  dist=8.79
gen=14  best=0.0756  avg=0.0714  eval_s=0.1  total_s=0.3  dist=8.75
gen=15  best=0.0737  avg=0.0714  eval_s=0.1  total_s=0.3  dist=8.72
gen=16  best=0.0731  avg=0.0721  eval_s=0.1  total_s=0.3  dist=8.70
gen=17  best=0.0756  avg=0.0719  eval_s=0.1  total_s=0.3  dist=8.65
