generation,best_fitness,avg_fitness,eval_time_s,total_time_s,dist_to_target
0,0.003203,0.003199,0.163,0.353,217.848175
1,0.003201,0.003197,0.152,0.342,218.426590
2,0.003197,0.003194,0.144,0.309,218.998322
3,0.003194,0.003189,0.137,0.338,219.572708
4,0.003187,0.003184,0.135,0.293,220.150742
5,0.003183,0.003180,0.139,0.298,220.753906
6,0.003180,0.003176,0.139,0.303,221.325546
7,0.003176,0.003173,0.138,0.298,221.904007
8,0.003174,0.003168,0.139,0.299,222.463486
9,0.003167,0.003164,0.140,0.297,223.026718
10,0.003166,0.003161,0.140,0.321,223.579437
11,0.003159,0.003156,0.138,0.323,224.152267
12,0.003156,0.003152,0.137,0.310,224.728409
13,0.003154,0.003148,0.138,0.300,225.294128
14,0.003148,0.003144,0.141,0.308,225.847733
15,0.003146,0.003139,0.137,0.294,226.403748
16,0.003140,0.003135,0.138,0.296,226.948700
17,0.003140,0.003133,0.137,0.315,227.471725
18,0.003132,0.003129,0.136,0.302,228.033310
19,0.003128,0.003124,0.136,0.303,228.591232
20,0.003125,0.003121,0.139,0.299,229.155579
21,0.003123,0.003116,0.139,0.301,229.681137
22,0.003116,0.003113,0.140,0.308,230.231400
23,0.003113,0.003110,0.134,0.297,230.793900
24,0.003109,0.003105,0.138,0.297,231.355164
25,0.003107,0.003102,0.139,0.302,231.881149
26,0.003103,0.003099,0.136,0.305,232.419037
27,0.003098,0.003094,0.137,0.295,232.976852
28,0.003095,0.003090,0.136,0.308,233.508713
29,0.003090,0.003087,0.138,0.300,234.040024
30,0.003086,0.003083,0.138,0.298,234.601242
31,0.003084,0.003079,0.135,0.311,235.124298
32,0.003080,0.003075,0.135,0.303,235.644485
33,0.003075,0.003072,0.136,0.294,236.167358
34,0.003072,0.003068,0.134,0.295,236.677200
35,0.003068,0.003064,0.140,0.305,237.236343
36,0.003065,0.003063,0.147,0.310,237.776688
37,0.003061,0.003058,0.134,0.311,238.322342
38,0.003056,0.003053,0.135,0.310,238.843872
39,0.003055,0.003051,0.136,0.309,239.365707
40,0.003050,0.003047,0.135,0.301,239.897400
41,0.003047,0.003044,0.136,0.324,240.433701
42,0.003045,0.003040,0.136,0.293,240.945145
43,0.003040,0.003035,0.136,0.308,241.416779
44,0.003036,0.003032,0.138,0.294,241.933716
45,0.003032,0.003030,0.137,0.306,242.486694
46,0.003031,0.003026,0.134,0.313,242.982117
47,0.003027,0.003022,0.135,0.296,243.517227
48,0.003024,0.003019,0.139,0.301,244.029343
49,0.003022,0.003016,0.136,0.291,244.523087
50,0.003015,0.003012,0.136,0.302,245.022980
51,0.003012,0.003010,0.135,0.322,245.543030
52,0.003009,0.003005,0.136,0.309,246.047104
53,0.003006,0.003001,0.136,0.301,246.531540
54,0.003003,0.002999,0.137,0.294,247.063187
55,0.002999,0.002996,0.138,0.307,247.557358
56,0.002995,0.002991,0.133,0.311,248.085922
57,0.002993,0.002988,0.134,0.295,248.583878
58,0.002989,0.002985,0.135,0.294,249.076813
59,0.002985,0.002981,0.135,0.297,249.587784
60,0.002982,0.002978,0.134,0.292,250.089645
61,0.002980,0.002975,0.139,0.315,250.569061
62,0.002974,0.002972,0.137,0.299,251.083069
63,0.002973,0.002968,0.138,0.300,251.589645
64,0.002968,0.002964,0.139,0.299,252.096497
65,0.002966,0.002962,0.137,0.291,252.583084
66,0.002961,0.002958,0.138,0.292,253.067703
67,0.002958,0.002955,0.137,0.294,253.556946
68,0.002956,0.002951,0.132,0.322,254.045135
69,0.002954,0.002950,0.135,0.298,254.509338
70,0.002950,0.002946,0.137,0.297,254.998291
71,0.002947,0.002942,0.139,0.320,255.482758
72,0.002945,0.002939,0.137,0.300,255.974167
73,0.002940,0.002936,0.135,0.304,256.426971
74,0.002942,0.002934,0.140,0.305,256.894043
75,0.002935,0.002929,0.137,0.299,257.368988
76,0.002931,0.002927,0.136,0.303,257.843567
77,0.002927,0.002925,0.141,0.302,258.367737
78,0.002925,0.002921,0.138,0.297,258.841125
79,0.002921,0.002918,0.137,0.296,259.310181
80,0.002922,0.002914,0.138,0.298,259.752258
81,0.002918,0.002911,0.137,0.327,260.196869
82,0.002913,0.002910,0.137,0.295,260.668304
83,0.002908,0.002905,0.138,0.296,261.167114
84,0.002906,0.002902,0.139,0.305,261.690369
85,0.002902,0.002899,0.135,0.312,262.202118
86,0.002901,0.002897,0.136,0.309,262.670685
87,0.002895,0.002893,0.141,0.297,263.161163
88,0.002893,0.002889,0.137,0.297,263.609833
89,0.002892,0.002888,0.136,0.298,264.067749
90,0.002888,0.002884,0.139,0.311,264.522797
91,0.002885,0.002881,0.134,0.308,265.006744
92,0.002883,0.002878,0.136,0.299,265.489990
93,0.002879,0.002875,0.135,0.301,265.936646
94,0.002877,0.002872,0.140,0.302,266.388855
95,0.002875,0.002869,0.138,0.295,266.843536
96,0.002873,0.002867,0.137,0.300,267.292633
97,0.002868,0.002864,0.140,0.303,267.761169
98,0.002865,0.002860,0.136,0.293,268.202789
99,0.002863,0.002858,0.135,0.297,268.641998
