generation,best_fitness,avg_fitness,eval_time_s,total_time_s,dist_to_target
0,1.000000,0.500000,0.168,0.341,217.726791
1,1.000000,0.666667,0.139,0.291,218.205338
2,1.000000,0.583333,0.127,0.282,218.656006
3,1.000000,0.583333,0.133,0.272,219.102783
4,1.000000,0.333333,0.139,0.283,219.559174
5,1.000000,0.666667,0.132,0.266,220.022156
6,1.000000,0.583333,0.115,0.245,220.480209
7,1.000000,0.333333,0.108,0.236,220.960953
8,1.000000,0.416667,0.110,0.237,221.409103
9,1.000000,0.250000,0.110,0.232,221.865784
10,1.000000,0.500000,0.108,0.243,222.292572
11,1.000000,0.333333,0.111,0.236,222.712097
12,1.000000,0.250000,0.107,0.235,223.180832
13,1.000000,0.333333,0.111,0.237,223.644989
14,1.000000,0.833333,0.108,0.235,224.107269
15,1.000000,0.583333,0.109,0.230,224.530380
16,1.000000,0.583333,0.111,0.238,224.939331
17,1.000000,0.583333,0.106,0.243,225.392441
18,1.000000,0.583333,0.114,0.270,225.875443
19,1.000000,0.666667,0.108,0.229,226.325302
20,1.000000,0.583333,0.112,0.243,226.795471
21,1.000000,0.500000,0.113,0.261,227.248535
22,1.000000,0.500000,0.111,0.233,227.677612
23,1.000000,0.333333,0.107,0.237,228.102875
24,1.000000,0.500000,0.110,0.236,228.550797
25,1.000000,0.833333,0.107,0.235,228.997543
26,1.000000,0.583333,0.109,0.231,229.442017
27,1.000000,0.750000,0.110,0.234,229.862915
28,1.000000,0.416667,0.114,0.235,230.294357
29,1.000000,0.583333,0.107,0.229,230.722015
30,1.000000,0.333333,0.111,0.229,231.218033
31,1.000000,0.750000,0.122,0.259,231.674942
32,1.000000,0.416667,0.110,0.232,232.114761
33,1.000000,0.333333,0.109,0.230,232.519363
34,1.000000,0.416667,0.108,0.241,232.954376
35,1.000000,0.416667,0.109,0.236,233.354446
36,1.000000,0.416667,0.113,0.260,233.782257
37,1.000000,0.583333,0.108,0.228,234.191498
38,1.000000,0.500000,0.110,0.235,234.655045
39,1.000000,0.666667,0.109,0.235,235.088654
40,1.000000,0.500000,0.109,0.234,235.551697
41,1.000000,0.666667,0.123,0.266,235.980240
42,1.000000,0.500000,0.111,0.229,236.407715
43,1.000000,0.416667,0.108,0.237,236.822601
44,1.000000,0.416667,0.108,0.230,237.237549
45,1.000000,0.750000,0.108,0.231,237.648071
46,1.000000,0.666667,0.108,0.237,238.048035
47,1.000000,0.333333,0.107,0.233,238.468399
48,1.000000,0.666667,0.106,0.228,238.922714
49,1.000000,0.666667,0.109,0.239,239.355988
50,1.000000,0.500000,0.108,0.236,239.805374
51,1.000000,0.583333,0.121,0.255,240.237610
52,1.000000,0.416667,0.112,0.237,240.623871
53,1.000000,0.583333,0.114,0.240,241.036057
54,1.000000,0.583333,0.111,0.241,241.486633
55,1.000000,0.416667,0.107,0.243,241.935181
56,1.000000,0.583333,0.119,0.252,242.357346
57,1.000000,0.583333,0.120,0.238,242.740891
58,1.000000,0.333333,0.109,0.243,243.192535
59,1.000000,0.583333,0.113,0.232,243.623840
60,1.000000,0.583333,0.107,0.235,244.055649
61,1.000000,0.500000,0.115,0.260,244.447754
62,1.000000,0.333333,0.107,0.225,244.856552
63,1.000000,0.583333,0.109,0.229,245.272446
64,1.000000,0.500000,0.106,0.224,245.650833
65,1.000000,0.500000,0.108,0.234,246.058502
66,1.000000,0.416667,0.107,0.231,246.453903
67,1.000000,0.666667,0.106,0.224,246.872223
68,1.000000,0.500000,0.107,0.228,247.298599
69,1.000000,0.666667,0.106,0.232,247.714401
70,1.000000,0.500000,0.109,0.233,248.116913
71,1.000000,0.583333,0.105,0.231,248.515091
72,1.000000,0.583333,0.105,0.230,248.934677
73,1.000000,0.250000,0.111,0.234,249.377319
74,1.000000,0.333333,0.106,0.245,249.754288
75,1.000000,0.333333,0.105,0.225,250.174637
76,1.000000,0.583333,0.106,0.229,250.592438
77,1.000000,0.500000,0.109,0.229,251.004898
78,1.000000,0.666667,0.110,0.236,251.425629
79,1.000000,0.666667,0.109,0.232,251.809036
80,1.000000,0.333333,0.104,0.242,252.221924
81,1.000000,0.416667,0.116,0.252,252.659866
82,1.000000,0.666667,0.109,0.230,253.091125
83,1.000000,0.416667,0.105,0.226,253.486664
84,1.000000,0.500000,0.103,0.227,253.873337
85,1.000000,0.750000,0.107,0.229,254.269852
86,1.000000,0.666667,0.109,0.243,254.696152
87,1.000000,0.666667,0.109,0.232,255.102692
88,1.000000,0.583333,0.108,0.227,255.496826
89,1.000000,0.666667,0.109,0.230,255.909698
90,1.000000,0.500000,0.108,0.231,256.314697
91,1.000000,0.750000,0.107,0.231,256.714142
92,1.000000,0.500000,0.108,0.229,257.125916
93,1.000000,0.750000,0.105,0.234,257.497040
94,1.000000,0.416667,0.108,0.229,257.870514
95,1.000000,0.416667,0.110,0.233,258.255585
96,1.000000,0.083333,0.108,0.236,258.645111
97,1.000000,0.583333,0.109,0.231,259.029968
98,1.000000,0.666667,0.109,0.231,259.407593
99,1.000000,0.333333,0.114,0.264,259.827209
