generation,best_fitness,avg_fitness,eval_time_s,total_time_s
0,1.000000,0.750000,8.008,8.029
1,0.500000,0.250000,8.904,8.930
2,1.000000,1.000000,9.382,9.406
3,0.500000,0.500000,7.148,7.174
4,1.000000,0.750000,6.314,6.341
5,0.500000,0.250000,6.216,6.243
6,1.000000,1.000000,9.638,9.666
7,0.500000,0.500000,9.705,9.732
8,0.500000,0.500000,9.526,9.556
9,1.000000,0.500000,9.912,9.935
10,0.500000,0.500000,9.124,9.151
11,0.000000,0.000000,8.958,8.987
12,1.000000,0.750000,10.753,10.781
13,1.000000,0.500000,9.652,9.678
14,0.000000,0.000000,8.571,8.599
15,0.500000,0.250000,9.592,9.620
16,1.000000,0.750000,9.636,9.659
17,1.000000,0.500000,9.251,9.280
18,1.000000,0.500000,10.054,10.080
19,1.000000,0.750000,9.304,9.327
20,0.500000,0.250000,9.923,9.949
21,1.000000,0.750000,10.386,10.414
22,1.000000,0.750000,8.887,8.914
23,0.500000,0.250000,9.987,10.009
