============================================================
                       ES Training                       
============================================================
[09:47:12] out_dir=training_history_20260630_094712
[09:47:12] params=553,053
[09:47:12] seed=42
[09:47:12] pop_size=48
[09:47:12] sigma=0.3
[09:47:12] lr=0.1
[09:47:12] workers=16
[09:47:12] games_per_ind=6
[09:47:12] generations=200
[09:47:12] opponents=random from population (self-play)
------------------------------------------------------------
[09:47:12] mode=synthetic test
[09:47:12] init_dist_to_target=9.2390
gen=gen  best=best_fit  avg=avg_fit  eval_s=eval(s)  total_s=total(s)  dist=dist_to_target
gen=61  best=0.0855  avg=0.0821  eval_s=2.2  total_s=2.6  dist=5.97
gen=62  best=0.0848  avg=0.0819  eval_s=2.2  total_s=2.6  dist=5.93
gen=63  best=0.0871  avg=0.0821  eval_s=2.2  total_s=2.6  dist=5.87
gen=64  best=0.0853  avg=0.0820  eval_s=2.1  total_s=2.6  dist=5.82
gen=65  best=0.0859  avg=0.0824  eval_s=2.2  total_s=2.6  dist=5.77
gen=66  best=0.0871  avg=0.0829  eval_s=2.2  total_s=2.6  dist=5.73
gen=67  best=0.0877  avg=0.0834  eval_s=2.1  total_s=2.6  dist=5.68
gen=68  best=0.0866  avg=0.0828  eval_s=2.1  total_s=2.6  dist=5.65
gen=69  best=0.0868  avg=0.0833  eval_s=2.1  total_s=2.6  dist=5.62
[09:50:17] checkpoint=training_history_20260630_094712\gen_0070.pt
gen=70  best=0.0865  avg=0.0829  eval_s=2.2  total_s=2.6  dist=5.60
gen=71  best=0.0863  avg=0.0830  eval_s=2.1  total_s=2.6  dist=5.55
gen=72  best=0.0891  avg=0.0839  eval_s=2.2  total_s=2.6  dist=5.50
gen=73  best=0.0862  avg=0.0835  eval_s=2.2  total_s=2.6  dist=5.46
gen=74  best=0.0878  avg=0.0840  eval_s=2.1  total_s=2.6  dist=5.41
gen=75  best=0.0887  avg=0.0837  eval_s=2.1  total_s=2.6  dist=5.37
gen=76  best=0.0883  avg=0.0847  eval_s=2.2  total_s=2.6  dist=5.34
