generation,best_fitness,avg_fitness,eval_time_s,total_time_s,dist_to_target
126,0.093429,0.088788,2.113,2.552,3.866380
127,0.092989,0.089115,2.118,2.555,3.854069
128,0.093673,0.088729,2.099,2.542,3.843563
129,0.092271,0.088922,2.114,2.558,3.852579
130,0.092744,0.089050,2.133,2.575,3.819411
131,0.093039,0.088773,2.117,2.552,3.786389
132,0.093452,0.089101,2.125,2.561,3.788623
133,0.094201,0.089352,2.134,2.572,3.783218
134,0.095043,0.089450,2.136,2.593,3.739993
135,0.091981,0.088898,2.174,2.612,3.716302
136,0.092094,0.089178,2.130,2.569,3.706032
137,0.092494,0.089413,2.153,2.591,3.698042
138,0.093831,0.089419,2.131,2.577,3.682440
139,0.094202,0.089476,2.147,2.601,3.690748
140,0.094870,0.088981,2.144,2.593,3.678177
141,0.096121,0.089626,2.111,2.558,3.672933
142,0.095505,0.089788,2.111,2.547,3.658138
143,0.092906,0.089607,2.110,2.562,3.646310
144,0.093696,0.089664,2.120,2.552,3.642139
145,0.093943,0.089536,2.109,2.558,3.592581
146,0.093440,0.089892,2.109,2.565,3.570076
147,0.094200,0.090358,2.140,2.593,3.561065
148,0.094257,0.090086,2.126,2.605,3.551434
149,0.093019,0.089592,2.115,2.555,3.537604
150,0.093390,0.090082,2.127,2.566,3.520387
151,0.093952,0.089454,2.114,2.548,3.499954
152,0.093472,0.089617,2.142,2.586,3.469319
153,0.094108,0.090235,2.208,2.652,3.422080
154,0.093973,0.090277,2.207,2.643,3.407270
155,0.093469,0.090100,2.170,2.621,3.412415
156,0.094114,0.090085,2.174,2.614,3.408396
157,0.095137,0.090395,2.201,2.636,3.404647
158,0.094695,0.090672,2.154,2.602,3.412956
159,0.094616,0.090013,2.119,2.569,3.385758
160,0.097667,0.090313,2.144,2.584,3.345357
161,0.095343,0.090677,2.119,2.567,3.316783
162,0.094919,0.090622,2.188,2.626,3.280957
163,0.095206,0.090241,2.125,2.574,3.275742
164,0.096612,0.090785,2.158,2.596,3.286064
165,0.093869,0.090783,2.126,2.562,3.266463
166,0.095329,0.090330,2.116,2.540,3.243140
167,0.095873,0.091080,2.175,2.616,3.222151
168,0.095173,0.090615,2.201,2.635,3.229104
169,0.094381,0.090436,2.102,2.543,3.193748
170,0.095280,0.090962,2.125,2.545,3.188545
171,0.095561,0.091164,2.114,2.539,3.190634
172,0.096064,0.090739,2.236,2.661,3.179887
173,0.094450,0.090978,2.149,2.578,3.155938
174,0.095450,0.091465,2.124,2.571,3.159599
175,0.094273,0.090723,2.245,2.709,3.153558
176,0.094789,0.091130,2.293,2.734,3.103599
177,0.095322,0.091049,2.185,2.638,3.085757
178,0.095900,0.091556,2.129,2.586,3.070177
179,0.093970,0.090932,2.105,2.533,3.062966
180,0.097466,0.091539,2.120,2.563,3.034999
181,0.094890,0.091191,2.110,2.544,3.015508
182,0.095151,0.091880,2.131,2.583,3.029496
183,0.094731,0.091114,2.244,2.695,3.030447
184,0.098642,0.091430,2.261,2.756,3.023622
185,0.095607,0.091441,2.259,2.763,3.019464
186,0.095286,0.091498,2.083,2.515,3.034481
187,0.098848,0.091485,2.134,2.571,3.015349
188,0.096269,0.091949,2.081,2.519,3.014655
189,0.093865,0.090731,2.105,2.546,3.023929
190,0.096318,0.091484,2.104,2.544,3.033245
191,0.095457,0.091467,2.081,2.518,3.044007
192,0.096245,0.091456,2.094,2.557,3.019191
193,0.095128,0.091255,2.094,2.528,3.024156
194,0.098283,0.091397,2.129,2.581,3.025292
195,0.095601,0.091062,2.122,2.565,3.020722
196,0.097446,0.091477,2.105,2.552,3.003477
197,0.095595,0.091472,2.122,2.554,2.982382
198,0.094660,0.090999,2.105,2.547,2.976164
199,0.095876,0.091240,2.116,2.561,2.982171
