============================================================
                       ES Training                       
============================================================
[09:39:57] out_dir=training_history_20260630_093957
[09:39:57] params=553,053
[09:39:57] seed=42
[09:39:57] pop_size=16
[09:39:57] sigma=5.0
[09:39:57] lr=0.1
[09:39:57] workers=12
[09:39:57] games_per_ind=1
[09:39:57] generations=200
[09:39:57] opponents=random from population (self-play)
------------------------------------------------------------
[09:39:57] mode=synthetic test
[09:39:57] init_dist_to_target=217.2721
gen=gen  best=best_fit  avg=avg_fit  eval_s=eval(s)  total_s=total(s)  dist=dist_to_target
-----------------------------------------------------------------
gen=0  best=0.0003  avg=0.0003  eval_s=0.2  total_s=0.4  dist=217.28
gen=1  best=0.0003  avg=0.0003  eval_s=0.2  total_s=0.4  dist=217.28
gen=2  best=0.0003  avg=0.0003  eval_s=0.2  total_s=0.4  dist=217.28
gen=3  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.29
gen=4  best=0.0003  avg=0.0003  eval_s=0.2  total_s=0.3  dist=217.29
gen=5  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.29
gen=6  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.29
gen=7  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.29
gen=8  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.30
gen=9  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.30
[09:40:02] checkpoint=training_history_20260630_093957\gen_0010.pt
gen=10  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.30
gen=11  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.30
gen=12  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.31
gen=13  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.31
gen=14  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.31
gen=15  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.31
gen=16  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.31
gen=17  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.31
gen=18  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.32
gen=19  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.32
[09:40:05] checkpoint=training_history_20260630_093957\gen_0020.pt
gen=20  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.32
gen=21  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.32
gen=22  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.33
gen=23  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.33
gen=24  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.33
gen=25  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.33
gen=26  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.33
gen=27  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.34
gen=28  best=0.0003  avg=0.0003  eval_s=0.2  total_s=0.3  dist=217.34
gen=29  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.34
[09:40:09] checkpoint=training_history_20260630_093957\gen_0030.pt
gen=30  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.35
gen=31  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.35
gen=32  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.35
gen=33  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.35
gen=34  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.36
gen=35  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.36
gen=36  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.36
gen=37  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.36
gen=38  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.37
gen=39  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.37
[09:40:12] checkpoint=training_history_20260630_093957\gen_0040.pt
gen=40  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.37
gen=41  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.37
gen=42  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.38
gen=43  best=0.0003  avg=0.0003  eval_s=0.1  total_s=0.3  dist=217.37
