generation,best_fitness,avg_fitness,eval_time_s,total_time_s,dist_to_target
0,0.000269,0.000268,0.168,0.359,217.277512
1,0.000269,0.000268,0.181,0.390,217.278931
2,0.000269,0.000268,0.154,0.370,217.283478
3,0.000269,0.000268,0.144,0.314,217.286423
4,0.000269,0.000268,0.151,0.319,217.288559
5,0.000269,0.000268,0.140,0.296,217.291138
6,0.000269,0.000268,0.137,0.295,217.292465
7,0.000269,0.000268,0.136,0.304,217.294754
8,0.000269,0.000268,0.139,0.302,217.295013
9,0.000269,0.000268,0.136,0.330,217.300659
10,0.000269,0.000269,0.136,0.306,217.304016
11,0.000269,0.000268,0.142,0.306,217.304718
12,0.000269,0.000268,0.139,0.308,217.306137
13,0.000269,0.000268,0.139,0.308,217.308823
14,0.000269,0.000268,0.136,0.300,217.311432
15,0.000269,0.000268,0.148,0.311,217.311935
16,0.000269,0.000268,0.141,0.303,217.313095
17,0.000269,0.000268,0.142,0.297,217.313568
18,0.000269,0.000268,0.149,0.310,217.316162
19,0.000269,0.000268,0.139,0.304,217.319778
20,0.000269,0.000268,0.137,0.321,217.322220
21,0.000269,0.000268,0.140,0.303,217.323120
22,0.000269,0.000268,0.139,0.311,217.326614
23,0.000269,0.000268,0.138,0.297,217.329758
24,0.000269,0.000268,0.140,0.300,217.332489
25,0.000269,0.000268,0.139,0.312,217.331863
26,0.000269,0.000268,0.142,0.293,217.333405
27,0.000269,0.000268,0.140,0.291,217.336700
28,0.000269,0.000268,0.152,0.339,217.338837
29,0.000269,0.000268,0.137,0.330,217.343185
30,0.000269,0.000268,0.149,0.317,217.347229
31,0.000269,0.000268,0.141,0.302,217.347626
32,0.000269,0.000268,0.139,0.310,217.349197
33,0.000269,0.000268,0.137,0.303,217.352982
34,0.000269,0.000268,0.143,0.304,217.355423
35,0.000269,0.000268,0.138,0.311,217.356384
36,0.000269,0.000268,0.140,0.318,217.360870
37,0.000269,0.000268,0.146,0.309,217.364777
38,0.000269,0.000268,0.137,0.310,217.367523
39,0.000269,0.000269,0.145,0.316,217.368530
40,0.000269,0.000268,0.143,0.331,217.371414
41,0.000269,0.000268,0.135,0.300,217.372818
42,0.000269,0.000268,0.138,0.299,217.375031
43,0.000269,0.000268,0.142,0.305,217.374573
44,0.000269,0.000268,0.138,0.312,217.376984
45,0.000269,0.000268,0.140,0.299,217.381332
46,0.000269,0.000268,0.138,0.305,217.383163
47,0.000269,0.000268,0.142,0.307,217.385864
48,0.000269,0.000268,0.136,0.297,217.385986
49,0.000269,0.000268,0.140,0.307,217.387299
50,0.000269,0.000268,0.142,0.309,217.389389
51,0.000269,0.000269,0.139,0.317,217.393784
52,0.000269,0.000268,0.141,0.306,217.394180
53,0.000269,0.000268,0.138,0.308,217.394241
54,0.000269,0.000268,0.141,0.297,217.396896
55,0.000269,0.000268,0.141,0.321,217.399734
56,0.000269,0.000268,0.141,0.318,217.401154
57,0.000269,0.000268,0.141,0.306,217.402237
58,0.000269,0.000268,0.138,0.301,217.402405
59,0.000269,0.000268,0.142,0.306,217.404556
60,0.000269,0.000268,0.144,0.300,217.406540
61,0.000269,0.000268,0.135,0.306,217.408249
62,0.000269,0.000268,0.134,0.306,217.410294
63,0.000269,0.000268,0.140,0.319,217.412567
64,0.000269,0.000268,0.135,0.306,217.414291
65,0.000269,0.000268,0.135,0.301,217.415604
66,0.000269,0.000268,0.141,0.319,217.417786
67,0.000269,0.000268,0.139,0.294,217.418045
68,0.000269,0.000268,0.144,0.302,217.419098
69,0.000269,0.000268,0.144,0.299,217.417450
70,0.000269,0.000268,0.136,0.296,217.419052
71,0.000269,0.000268,0.140,0.302,217.422867
72,0.000269,0.000268,0.145,0.317,217.423645
73,0.000269,0.000268,0.138,0.300,217.428055
74,0.000269,0.000268,0.145,0.313,217.426056
75,0.000269,0.000268,0.148,0.313,217.428116
76,0.000269,0.000268,0.143,0.338,217.430145
77,0.000269,0.000268,0.144,0.311,217.433121
78,0.000269,0.000268,0.139,0.301,217.433594
79,0.000269,0.000268,0.138,0.310,217.436401
80,0.000269,0.000268,0.139,0.300,217.435013
81,0.000269,0.000268,0.144,0.315,217.435623
82,0.000269,0.000268,0.143,0.298,217.437622
83,0.000269,0.000268,0.142,0.302,217.439255
84,0.000269,0.000268,0.136,0.299,217.442398
85,0.000269,0.000268,0.142,0.311,217.445389
86,0.000269,0.000268,0.141,0.298,217.447891
87,0.000269,0.000268,0.142,0.302,217.450745
88,0.000269,0.000268,0.138,0.305,217.452301
