generation,best_fitness,avg_fitness,eval_time_s,total_time_s,dist_to_target
89,0.000269,0.000268,0.139,0.300,217.453064
90,0.000269,0.000268,0.136,0.299,217.456650
91,0.000269,0.000268,0.136,0.304,217.460938
92,0.000269,0.000268,0.139,0.325,217.462738
93,0.000269,0.000268,0.135,0.310,217.465500
94,0.000269,0.000268,0.139,0.304,217.466415
95,0.000269,0.000268,0.140,0.302,217.467331
96,0.000269,0.000268,0.139,0.302,217.468430
97,0.000269,0.000268,0.140,0.303,217.470108
98,0.000269,0.000268,0.137,0.313,217.470261
99,0.000269,0.000268,0.137,0.309,217.471024
100,0.000269,0.000268,0.141,0.297,217.474960
101,0.000269,0.000268,0.141,0.300,217.475845
102,0.000269,0.000268,0.140,0.304,217.479874
103,0.000269,0.000268,0.146,0.304,217.480713
104,0.000269,0.000268,0.136,0.301,217.481415
105,0.000269,0.000268,0.139,0.317,217.484894
106,0.000269,0.000268,0.138,0.317,217.485672
107,0.000269,0.000268,0.138,0.333,217.485794
108,0.000269,0.000268,0.137,0.314,217.489929
109,0.000269,0.000268,0.138,0.308,217.491943
110,0.000269,0.000268,0.140,0.300,217.493179
111,0.000269,0.000268,0.141,0.312,217.495667
112,0.000269,0.000268,0.173,0.344,217.497726
113,0.000269,0.000268,0.153,0.382,217.500244
114,0.000269,0.000268,0.129,0.286,217.501099
115,0.000269,0.000268,0.140,0.317,217.501266
116,0.000269,0.000268,0.129,0.284,217.503204
117,0.000269,0.000268,0.142,0.298,217.504425
118,0.000269,0.000268,0.132,0.288,217.506973
119,0.000269,0.000268,0.135,0.298,217.510178
120,0.000269,0.000268,0.132,0.291,217.511627
121,0.000269,0.000268,0.128,0.304,217.513565
122,0.000269,0.000268,0.131,0.297,217.514221
123,0.000269,0.000268,0.129,0.296,217.515594
124,0.000269,0.000268,0.137,0.311,217.518738
125,0.000269,0.000268,0.130,0.293,217.519852
126,0.000269,0.000268,0.134,0.293,217.520462
127,0.000269,0.000268,0.129,0.305,217.524185
128,0.000269,0.000268,0.152,0.313,217.526596
129,0.000269,0.000268,0.131,0.284,217.528458
130,0.000269,0.000268,0.132,0.286,217.530563
131,0.000269,0.000268,0.130,0.290,217.532867
132,0.000269,0.000268,0.129,0.288,217.534225
133,0.000269,0.000268,0.128,0.287,217.536011
134,0.000269,0.000268,0.130,0.296,217.537949
135,0.000269,0.000268,0.132,0.292,217.539017
136,0.000269,0.000268,0.129,0.291,217.540497
137,0.000269,0.000268,0.131,0.288,217.542053
138,0.000269,0.000268,0.129,0.286,217.543900
139,0.000269,0.000268,0.128,0.288,217.543777
140,0.000269,0.000268,0.130,0.305,217.546432
141,0.000269,0.000268,0.128,0.292,217.547791
142,0.000269,0.000268,0.130,0.293,217.549988
143,0.000269,0.000268,0.128,0.290,217.549179
144,0.000269,0.000268,0.129,0.290,217.550690
145,0.000269,0.000268,0.129,0.291,217.551529
146,0.000269,0.000268,0.135,0.285,217.551254
147,0.000269,0.000268,0.131,0.285,217.552795
148,0.000269,0.000268,0.133,0.313,217.553528
149,0.000269,0.000268,0.131,0.296,217.557648
150,0.000269,0.000268,0.128,0.289,217.559555
151,0.000269,0.000268,0.129,0.311,217.562515
152,0.000269,0.000268,0.132,0.288,217.566238
153,0.000269,0.000268,0.128,0.281,217.567535
154,0.000269,0.000268,0.131,0.289,217.570923
155,0.000269,0.000268,0.136,0.290,217.572403
156,0.000269,0.000268,0.130,0.287,217.572922
157,0.000269,0.000268,0.128,0.299,217.574432
158,0.000269,0.000268,0.128,0.296,217.575180
159,0.000269,0.000268,0.131,0.296,217.578323
160,0.000269,0.000268,0.129,0.287,217.579407
161,0.000269,0.000268,0.131,0.287,217.582153
162,0.000269,0.000268,0.133,0.293,217.585876
163,0.000269,0.000268,0.128,0.308,217.586777
164,0.000269,0.000268,0.129,0.288,217.587646
165,0.000269,0.000268,0.133,0.291,217.590851
166,0.000269,0.000268,0.132,0.282,217.590439
167,0.000269,0.000268,0.130,0.294,217.590744
168,0.000269,0.000268,0.129,0.294,217.590195
169,0.000269,0.000268,0.132,0.286,217.590714
170,0.000269,0.000268,0.130,0.299,217.588684
171,0.000269,0.000268,0.131,0.303,217.591110
172,0.000269,0.000268,0.135,0.295,217.593277
173,0.000269,0.000268,0.131,0.302,217.595734
174,0.000269,0.000268,0.132,0.290,217.595139
175,0.000269,0.000268,0.130,0.322,217.597031
176,0.000269,0.000268,0.134,0.327,217.598755
177,0.000269,0.000268,0.130,0.296,217.602036
178,0.000269,0.000268,0.145,0.307,217.603455
179,0.000269,0.000268,0.149,0.337,217.606171
180,0.000269,0.000268,0.144,0.325,217.609024
181,0.000269,0.000268,0.134,0.294,217.611511
182,0.000269,0.000268,0.129,0.288,217.614197
183,0.000269,0.000268,0.129,0.298,217.616562
184,0.000269,0.000268,0.127,0.298,217.618744
185,0.000269,0.000268,0.126,0.283,217.620560
186,0.000269,0.000268,0.136,0.295,217.622833
187,0.000269,0.000268,0.126,0.289,217.623138
188,0.000269,0.000268,0.127,0.277,217.625809
189,0.000269,0.000268,0.134,0.310,217.627563
190,0.000269,0.000268,0.129,0.290,217.629288
191,0.000269,0.000268,0.127,0.288,217.630386
192,0.000269,0.000268,0.141,0.304,217.630554
193,0.000269,0.000268,0.131,0.289,217.631699
194,0.000269,0.000268,0.139,0.308,217.632797
195,0.000269,0.000268,0.135,0.312,217.634628
196,0.000269,0.000268,0.134,0.296,217.636124
197,0.000269,0.000268,0.139,0.303,217.637283
198,0.000269,0.000268,0.139,0.299,217.638809
199,0.000269,0.000268,0.140,0.302,217.640610
