generation,best_fitness,avg_fitness,eval_time_s,total_time_s
0,1.000000,0.500000,7.865,7.952
1,1.000000,0.666667,6.045,6.118
2,1.000000,0.500000,5.863,5.943
3,1.000000,0.666667,5.002,5.100
4,1.000000,0.500000,4.577,4.652
